Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,142868,142868,10000.0,2025-05-07,1
2,498231,498231,10000.0,2025-04-14,1
3,642862,642862,10000.0,2025-06-14,1
4,547603,547603,10000.0,2025-03-07,1
5,594672,594672,10000.0,2025-10-14,1
6,362682,362682,10000.0,2025-12-07,1
7,31208,31208,10000.0,2025-04-07,1
8,860145,860145,10000.0,2025-02-13,1
9,861723,861723,10000.0,2025-06-07,1
10,154953,154953,10000.0,2025-05-14,1
11,599102,599102,10000.0,2025-11-21,1
12,12390,12390,10000.0,2025-11-07,1
13,523774,523774,10000.0,2025-01-27,1
14,374781,374781,10000.0,2025-12-28,1
15,517217,517217,10000.0,2025-02-27,1
16,289496,289496,10000.0,2025-12-21,1
17,609861,609861,10000.0,2025-04-14,1
18,535730,535730,10000.0,2025-09-28,1
19,475715,475715,10000.0,2025-10-07,1
20,724060,724060,10000.0,2025-04-21,1
21,741590,741590,10000.0,2025-03-14,1
22,146214,146214,10000.0,2025-06-28,1
23,586590,586590,10000.0,2025-09-14,1
24,456544,456544,10000.0,2025-05-21,1
25,490172,490172,10000.0,2025-04-07,1
26,826296,826296,10000.0,2025-08-21,1
27,873350,873350,10000.0,2025-03-14,1
28,158363,158363,10000.0,2025-09-07,1
29,951865,951865,10000.0,2025-09-21,1
30,211545,211545,10000.0,2025-12-28,1
31,50742,50742,10000.0,2025-08-21,1
32,305265,305265,10000.0,2025-01-20,1
33,509607,509607,10000.0,2025-05-14,1
34,977196,977196,10000.0,2025-12-07,1
35,642069,642069,10000.0,2025-04-14,1
36,491765,491765,10000.0,2025-08-14,1
37,257501,257501,10000.0,2025-07-21,1
38,618049,618049,10000.0,2025-08-28,1
39,271660,271660,10000.0,2025-03-28,1
40,48813,48813,10000.0,2025-05-14,1
41,570218,570218,10000.0,2025-12-21,1
42,594116,594116,10000.0,2025-04-07,1
43,416955,416955,10000.0,2025-03-21,1
44,367979,367979,10000.0,2025-05-28,1
45,445680,445680,10000.0,2025-09-14,1
46,644661,644661,10000.0,2025-05-14,1
47,496988,496988,10000.0,2025-11-21,1
48,523713,523713,10000.0,2025-11-28,1
49,955312,955312,10000.0,2025-02-20,1
50,178750,178750,10000.0,2025-05-21,1
51,610698,610698,10000.0,2025-07-28,1
52,97491,97491,10000.0,2025-05-14,1
53,358876,358876,10000.0,2025-07-14,1
54,460594,460594,10000.0,2025-06-14,1
55,783077,783077,10000.0,2025-07-21,1
56,112718,112718,10000.0,2025-12-21,1
57,941464,941464,10000.0,2025-04-21,1
58,657119,657119,10000.0,2025-05-28,1
59,398114,398114,10000.0,2025-09-28,1
60,28494,28494,10000.0,2025-11-07,1
61,812822,812822,10000.0,2025-10-28,1
62,843491,843491,10000.0,2025-08-14,1
63,375339,375339,10000.0,2025-07-07,1
64,172407,172407,10000.0,2025-01-20,1
65,578378,578378,10000.0,2025-04-07,1
66,346073,346073,10000.0,2025-07-21,1
67,417352,417352,10000.0,2025-04-21,1
68,651287,651287,10000.0,2025-06-21,1
69,940122,940122,10000.0,2025-08-21,1
70,541931,541931,10000.0,2025-09-07,1
71,462523,462523,10000.0,2025-09-21,1
72,228436,228436,10000.0,2025-02-20,1
73,773141,773141,10000.0,2025-05-28,1
74,625690,625690,10000.0,2025-07-14,1
75,430345,430345,10000.0,2025-10-21,1
76,911368,911368,10000.0,2025-01-27,1
77,788615,788615,10000.0,2025-09-07,1
78,250822,250822,10000.0,2025-04-21,1
79,52955,52955,10000.0,2025-09-07,1
80,820173,820173,10000.0,2025-11-28,1
81,738442,738442,10000.0,2025-08-07,1
82,342177,342177,10000.0,2025-11-28,1
83,390969,390969,10000.0,2025-03-21,1
84,842163,842163,10000.0,2025-12-28,1
85,795203,795203,10000.0,2025-09-07,1
86,969364,969364,10000.0,2025-07-14,1
87,664029,664029,10000.0,2025-04-14,1
88,5091,5091,10000.0,2025-11-28,1
89,313629,313629,10000.0,2025-11-28,1
90,669563,669563,10000.0,2025-05-28,1
91,932620,932620,10000.0,2025-02-20,1
92,197630,197630,10000.0,2025-12-21,1
93,294932,294932,10000.0,2025-10-28,1
94,894037,894037,10000.0,2025-09-21,1
95,397771,397771,10000.0,2025-10-21,1
96,409073,409073,10000.0,2025-09-07,1
97,442667,442667,10000.0,2025-06-21,1
98,839784,839784,10000.0,2025-06-28,1
99,352876,352876,10000.0,2025-02-20,1
100,397299,397299,10000.0,2025-07-07,1
101,948465,948465,10000.0,2025-06-07,1
102,906206,906206,10000.0,2025-12-21,1
103,90978,90978,10000.0,2025-07-28,1
104,503654,503654,10000.0,2025-02-06,1
105,814699,814699,10000.0,2025-12-14,1
106,297809,297809,10000.0,2025-09-07,1
107,266797,266797,10000.0,2025-12-14,1
108,462088,462088,10000.0,2025-07-14,1
